product_clean,meddra_pt,first_signal_yq,first_signal_idx,max_cusum
CENTRUM SILVER ULTRA WOMENS,Choking,2012-Q1,41,10.7473684210526
CENTRUM SILVER ULTRA WOMENS MULTIMINERAL MULTIVITAMINS TABLET,Choking,2011-Q4,40,12.4538812454039
CENTRUM SILVER ULTRA WOMENS MULTIMINERAL MULTIVITAMINS TABLET,Dysphagia,2011-Q4,40,6.24736842105263
CENTRUM SILVER ULTRA WOMENS MULTIMINERAL MULTIVITAMINS TABLET,Foreign Body Trauma,2012-Q1,41,6.83157894736842
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS,Choking,2012-Q1,41,9.49473684210526
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Choking,2011-Q4,40,14.3384837872419
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Dysphagia,2011-Q4,40,14.1401756679227
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Foreign Body Trauma,2012-Q1,41,12.1513486087208
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Oropharyngeal Pain,2012-Q1,41,5.62105263157895
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Retching,2012-Q1,41,8.15263157894737
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Throat Irritation,2012-Q1,41,5.66315789473684
CENTRUM SILVER WOMEN 50 PLUS,Foreign Body In Throat,2025-Q2,94,12.9263157894737
CENTRUM SILVER WOMEN 50+,Choking,2017-Q4,64,13.8653810306487
CENTRUM SILVER WOMEN 50+,Dysphagia,2017-Q4,64,16.7903749285169
"CENTRUM SILVER WOMEN'S 50 + (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2013-Q4,48,8.94073655802988
"CENTRUM SILVER WOMEN'S 50 + (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2013-Q4,48,9.28001126167326
"CENTRUM SILVER WOMEN'S 50 PLUS (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2013-Q1,45,11.9203386518477
"CENTRUM SILVER WOMEN'S 50 PLUS (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2013-Q1,45,5.27894736842105
