product_clean,base_name,n_signals,total_cases
ARBONNE ESSENTIALS PROTEIN SHAKE MIX,ARBONNE ESSENTIALS,1,4
AZO CRANBERRY,AZO CRANBERRY,1,5
AZO CRANBERRY TABLETS,AZO CRANBERRY,1,3
BALANCE OF NATURE WHOLE PRODUCE FRUITS,BALANCE OF,4,23
BALANCE OF NATURE WHOLE PRODUCE VEGGIES,BALANCE OF,3,20
BALANCE OF NATURE WHOLE PRODUCE FRUITS 90 CAPSULES,BALANCE OF,2,9
BALANCE OF NATURE WHOLE PRODUCE VEGGIES 90 CAPSULES,BALANCE OF,2,10
BENEFIBER UNKNOWN (NCH) (UNKNOWN) POWDER,BENEFIBER UNKNOWN,2,7
BENEFIBER UNKNOWN (NCH),BENEFIBER UNKNOWN,1,5
BENEFIBER UNKNOWN (NCH) (UNKNOWN) UNKNOWN,BENEFIBER UNKNOWN,1,3
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,BENEFIBER W,20,99
BENEFIBER W/ WHEAT DEXTRIN,BENEFIBER W,2,12
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,BENEFIBER WITH,18,97
BENEFIBER WITH WHEAT DEXTRIN,BENEFIBER WITH,8,36
BENEFIBER WITH WHEAT DEXTRIN (NCH) WHEAT DEXTRIN POWDER,BENEFIBER WITH,3,12
BENEFIBER WITH WHEAT DEXTRIN (NCH)(WHEAT DEXTRIN) POWDER,BENEFIBER WITH,1,4
BENEFIBER WITH WHEAT DEXTRIN POWDER,BENEFIBER WITH,1,3
BEROCCA CAFFEINE MINERALS ASCORBIC ACID VITAMIN B EFFERVESCENT TABLET,BEROCCA CAFFEINE,2,14
"BEROCCA (CAFFEINE, MINERALS, ASCORBIC ACID, VITAMIN B)",BEROCCA CAFFEINE,1,4
"BEROCCA (CAFFEINE, MINERALS, ASCORBIC ACID, VITAMIN B) EFFERVESCENT TABLET",BEROCCA CAFFEINE,1,6
BEROCCA CAFFEINE MINERALS ASCORBIC ACID VITAMIN B,BEROCCA CAFFEINE,1,3
CALCIUM CARBONATE,CALCIUM CARBONATE,5,16
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,CALCIUM CARBONATE,5,16
