product_clean,meddra_pt,in_era1,in_era2,a,prr,n_methods
KRATOM,Toxicologic Test Abnormal,FALSE,TRUE,14,458.9725,4
ONE A DAY WOMEN'S 50+ MINIGELS COMPLETE MULTIVITAMIN,Choking,FALSE,TRUE,14,4.55666519802223,4
PRESERVISION AREDS 2,Blood Glucose Increased,FALSE,TRUE,14,2.47792111648822,3
PRESERVISION AREDS 2,Eye Disorder,FALSE,TRUE,14,17.9401488833747,4
PRESERVISION AREDS 2 FORMULA SOFT GELS,Age-Related Macular Degeneration,FALSE,TRUE,14,9.6463010673537,4
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Foreign Body,FALSE,TRUE,14,2.52932111392958,3
PREVAGEN REGULAR STRENGTH,Blood Pressure Increased,FALSE,TRUE,14,4.93193633952255,4
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Alanine Aminotransferase Increased,FALSE,TRUE,13,23.3918882257189,4
ALL DAY ENERGY GREENS,Flatulence,FALSE,TRUE,13,7.76481883075811,4
ARBONNE ESSENTIALS BODY CLEANSE,Hypersensitivity,FALSE,TRUE,13,10.7127056417883,4
ARBONNE ESSENTIALS DAILY FIBER BOOST,Dyspnoea,FALSE,TRUE,13,4.58188809334394,4
ARBONNE ESSENTIALS HERBAL DETOX TEA,Dyspnoea,FALSE,TRUE,13,5.02965830374294,4
ARBONNE ESSENTIALS PROTEIN SHAKE MIX - VANILLA,Dyspnoea,FALSE,TRUE,13,5.28798727128083,4
BURN,Nausea,FALSE,TRUE,13,6.69296717758167,4
CITRACAL MAXIMUM,Pharyngeal Injury,FALSE,TRUE,13,12.752936775159,4
CITRACAL MAXIMUM BAYER,Foreign Body,FALSE,TRUE,13,7.39990150736554,4
GRIPE WATER NIGHTTIME,Choking,FALSE,TRUE,13,9.97661341484515,4
KRATOM,Cardiac Arrest,FALSE,TRUE,13,12.9148106060606,4
KRATOM,Pulmonary Congestion,FALSE,TRUE,13,94.7086111111111,4
KRATOM,Unresponsive To Stimuli,FALSE,TRUE,13,14.6961637931035,4
ONE A DAY WOMEN'S MINIGELS COMPLETE MULTIVITAMIN,Choking,FALSE,TRUE,13,5.81750437357018,4
PREVAGEN REGULAR STRENGTH,Dizziness,FALSE,TRUE,13,3.57737373737374,4
SUPER BETA PROSTATE,Haematospermia,FALSE,TRUE,13,81.5193195625759,4
SUPER BETA PROSTATE,Prostate Cancer,FALSE,TRUE,13,9.47899064681116,4
SUPER BETA PROSTATE,Renal Disorder,FALSE,TRUE,13,4.91080238328771,4
SUPER BETA VIRILITY BOOST,Haematochezia,FALSE,TRUE,13,7.10818791946309,4
AGELESS MALE MAX,Dyspnoea,FALSE,TRUE,12,2.06385626506961,3
ALL DAY ENERGY GREENS FRUITY,Abdominal Pain Upper,FALSE,TRUE,12,2.43778875991265,3
ALL DAY ENERGY GREENS FRUITY,Flatulence,FALSE,TRUE,12,11.7809456807494,4
ALL DAY ENERGY GREENS FRUITY,Gastric Disorder,FALSE,TRUE,12,25.1396965865992,4
CENTRUM,Death,FALSE,TRUE,12,4.9662655110058,4
CENTRUM SILVER ADULTS 50+,Dysphagia,FALSE,TRUE,12,4.3477002471091,4
CITRACAL SLOW RELEASE 1200,Foreign Body In Throat,FALSE,TRUE,12,13.7844849952434,4
EXTENZE PLUS,Tremor,FALSE,TRUE,12,31.5950118764846,4
GRIPE WATER ORIGINAL,Choking,FALSE,TRUE,12,10.7405165456013,4
KRATOM,Seizure,FALSE,TRUE,12,5.54091549295775,4
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Hepatic Enzyme Increased,FALSE,TRUE,12,11.435775862069,4
OAD WOMEN'S MINIGELS COMPLETE MULTIVITAMIN,Foreign Body,FALSE,TRUE,12,16.8764864436341,4
PLEXUS SLIM,Vomiting,FALSE,TRUE,12,2.52640589703959,3
PRESERVISION AREDS 2,Blindness Unilateral,FALSE,TRUE,12,12.4010245737613,4
PRESERVISION AREDS 2,Eye Haemorrhage,FALSE,TRUE,12,6.98966839612001,4
PRESERVISION AREDS 2 FORMULA,Dysphagia,FALSE,TRUE,12,3.39105966617638,3
PRESERVISION AREDS 2 FORMULA SOFT GELS,Cerebrovascular Accident,FALSE,TRUE,12,2.15590682880684,3
SUPER BETA PROSTATE P3 ADVANCED,Haemorrhage,FALSE,TRUE,12,4.31797725227068,4
SUPER BETA PROSTATE P3 ADVANCED,Myocardial Infarction,FALSE,TRUE,12,4.22047454012263,4
VITAMIN B6,Paraesthesia,FALSE,TRUE,12,30.8963113563753,4
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Hepatic Enzyme Increased,FALSE,TRUE,11,10.3386828214121,4
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Hospitalisation,FALSE,TRUE,11,5.79683372067616,4
ALL DAY ENERGY GREENS,Abdominal Distension,FALSE,TRUE,11,3.91908534777805,4
ARBONNE ESSENTIALS CHOCOLATE PROTEIN SHAKE MIX,Hypersensitivity,FALSE,TRUE,11,13.8158130752891,4
ARBONNE ESSENTIALS ENERGY FIZZ STICKS - CITRUS,Hypersensitivity,FALSE,TRUE,11,10.0935150051742,4
BALANCE OF NATURE WHOLE PRODUCE FRUITS,Hospitalisation,FALSE,TRUE,11,14.0875240847784,4
BALANCE OF NATURE WHOLE PRODUCE VEGGIES,Hospitalisation,FALSE,TRUE,11,14.8300882263462,4
BURN,Vomiting,FALSE,TRUE,11,6.27860024030209,4
CITRACAL PETITES,Pharyngeal Injury,FALSE,TRUE,11,18.3245392577632,4
CITRACAL PETITES,Retching,FALSE,TRUE,11,4.77420946179271,4
EXTENZE PLUS,Vomiting,FALSE,TRUE,11,6.27860024030209,4
KRATOM,Cardiomegaly,FALSE,TRUE,11,51.5173214285714,4
KRATOM,Drug Dependence,FALSE,TRUE,11,8.48520588235294,4
KRATOM,Weight Decreased,FALSE,TRUE,11,2.34932410423453,3
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Hypersensitivity,FALSE,TRUE,11,2.72646674140508,3
OCUVITE ADULT 50+,Macular Degeneration,FALSE,TRUE,11,17.9952574525745,4
ONE A DAY WOMEN'S,Retching,FALSE,TRUE,11,7.6442292552354,4
ONE A DAY WOMENS 50 PLUS HEALTHY ADVANTAGE,Choking,FALSE,TRUE,11,6.21405065709858,4
PLEXUS BIO CLEANSE,Abdominal Pain Upper,FALSE,TRUE,11,5.62095347943099,4
PLEXUS SLIM,Abdominal Pain Upper,FALSE,TRUE,11,3.88850146393399,4
PRESERVISION AREDS 2,International Normalised Ratio Increased,FALSE,TRUE,11,6.40719602977668,4
PRESERVISION AREDS 2 FORMULA SOFT GELS,Blindness Unilateral,FALSE,TRUE,11,21.5534539473684,4
"PRESERVISION AREDS 2 SOFT GELS (CAPSULE, SOFT)",Condition Aggravated,FALSE,TRUE,11,24.5127044025157,4
PREVAGEN REGULAR STRENGTH,Headache,FALSE,TRUE,11,3.41833284586136,3
RITUAL ESSENTIAL FOR WOMEN PRENATAL MULTIVITAMIN,Gastrointestinal Disorder,FALSE,TRUE,11,33.0335403726708,4
SUPER BETA PROSTATE,Cardiac Disorder,FALSE,TRUE,11,2.28403595310325,3
SUPER BETA PROSTATE,Cystitis,FALSE,TRUE,11,9.0760376031208,4
SUPER BETA PROSTATE P3 ADVANCED,Cerebrovascular Accident,FALSE,TRUE,11,3.42662337662338,3
