product_clean,meddra_pt,crude_ror,adjusted_or,adj_or_lower,adj_or_upper,adj_p_value,adj_significant,or_ratio,direction_change,magnitude_change
SUPER BETA PROSTATE,Haemorrhage,8.51902307045446,4.21489450012921,2.72012040731763,6.33061429306747,2.0901107364357e-11,TRUE,0.494762658261514,Consistent direction,Substantial (>50% change)
CITRACAL MAXIMUM,Foreign Body,9.74884485114664,4.30814719417698,3.08019821885911,5.91224408891996,1.37385508502085e-18,TRUE,0.441913607197295,Consistent direction,Substantial (>50% change)
SUPER BETA PROSTATE,Haematochezia,7.18726298896425,6.94695187689765,4.8722821859759,9.74992001490358,5.0221306315228e-28,TRUE,0.966564307938141,Consistent direction,Minimal (<20% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Injury,121.758826256872,18.7997995643372,10.3816855340476,32.3802748688538,2.74989205577851e-24,TRUE,0.154401944748348,Consistent direction,Substantial (>50% change)
ONE A DAY WOMEN'S,Choking,4.21374312735559,2.58671793957425,1.66817028768329,3.950337461879,1.46317728187597e-05,TRUE,0.613876513445087,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,3.97515947467167,1.48448686008176,0.936916094169094,2.29011590861986,0.0819092403487712,FALSE,0.373440831629622,Consistent direction,Substantial (>50% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Pain,7.49798819281252,2.41196668362657,1.51173865498339,3.67134006632121,9.31931524095747e-05,TRUE,0.321681846063542,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Throat Irritation,8.74541107791026,6.10797860158773,4.43419377577429,8.26930530702022,4.00521694215188e-30,TRUE,0.698420982978795,Consistent direction,Moderate (20-50% change)
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN,Choking,52.6645212033821,224.331231991149,47.2926894511835,4019.85362127182,1.20310237529513e-07,TRUE,4.25962729490726,Consistent direction,Substantial (>50% change)
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Choking,10.5893697965074,5.891065064398,3.57016256370665,9.85538857973372,6.22707426759105e-12,TRUE,0.556318759057881,Consistent direction,Substantial (>50% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Rhabdomyolysis,68.5979831932773,15.1745186274951,9.62766713242935,23.3571190614744,1.65052955716152e-33,TRUE,0.221209398893556,Consistent direction,Substantial (>50% change)
