product_clean,meddra_pt,a,expected,prr,prr_lower,prr_upper,chi2,prr_signal,ror,ror_lower,ror_upper,ror_signal,ebgm,eb05,eb95,gps_signal,ic,ic025,ic975,bcpnn_signal,n_methods,validation_status,validation_note
FLINTSTONES WITH IRON MULTIVITAMINS + IRON CHEWABLE TABLET,Accidental Drug Intake By Child,3,0.00245700245700246,1356.55555555556,687.286362197811,2677.54909238108,2540.52091459931,TRUE,4141.41212121212,589.829448881935,29078.3961198177,TRUE,10.0867261046974,8.21559833160804,11.1547801132832,TRUE,2.8002828733821,1.75265634490865,3.84790940185556,TRUE,4,,
FLORASTOR,Fungal Infection,3,0.0570843570843571,54.9332082551595,17.9921885732022,167.720416942453,104.777890320276,TRUE,67.6398334489938,22.052665317905,207.464585484502,TRUE,5.71266805993575,3.84154028684642,6.78072206852161,TRUE,2.65138721122453,1.60376068275107,3.69901373969798,TRUE,4,Partially validated,Saccharomyces boulardii fungaemia in immunocompromised; known rare risk
FLOYD NUTRITION SLIM TRIM U,Heart Rate Increased,3,0.184520884520885,16.288859239493,7.30649735331776,36.3138344535957,29.9816351596948,TRUE,31.5675225075025,7.16792636328285,139.023258158205,TRUE,4.02545891369745,2.15433114060811,5.09351292228331,TRUE,2.35418845860996,1.30656193013651,3.40181498708342,TRUE,4,,
FLOYD NUTRITION SLIM TRIM U,Insomnia,3,0.106019656019656,28.3918604651163,12.7202906979712,63.3710156324653,55.0364855292131,TRUE,55.7518884369553,12.6512715975805,245.688588717133,TRUE,4.82311544472023,2.9519876716309,5.89116945330609,TRUE,2.52991842921672,1.48229190074327,3.57754495769018,TRUE,4,,
FLUSH,Dehydration,3,0.218673218673219,13.7621195039459,5.15389477516426,36.7481179774089,24.2478459045295,TRUE,19.9015863602669,5.83252260302341,67.9076904819619,TRUE,3.78084555959173,1.9097177865024,4.84889956817759,TRUE,2.28394709185308,1.23632056337963,3.33157362032654,TRUE,4,,
FORMULA 2 MULTIVITAMIN COMPLEX,Hepatic Enzyme Increased,3,0.200143325143325,15.0626285479227,5.37669519592347,42.1974410869923,26.7519208885276,TRUE,20.3439542237615,6.31293678893498,65.5600534736742,TRUE,3.90839896791193,2.03727119482259,4.97645297649779,TRUE,2.32163273301902,1.27400620454556,3.36925926149247,TRUE,4,,
FRUTA PLANTA,Hypertension,3,0.243079443079443,12.3876860622463,4.45568160141016,34.4402449960079,21.2850780724334,TRUE,16.8581624220569,5.19106820554625,54.747429429806,TRUE,3.6283998884667,1.75727211537737,4.69645389705256,TRUE,2.23576655852309,1.18814003004963,3.28339308699654,TRUE,4,,
GARCINIA CAMBOGIA,Biopsy Liver Abnormal,3,0.0200655200655201,163.433035714286,53.113709999464,502.890066671232,306.895403720816,TRUE,206.011161387632,64.0037967712252,663.095015565723,TRUE,7.20669819680252,5.33557042371319,8.27475220538838,TRUE,2.75058962538548,1.70296309691202,3.79821615385893,TRUE,4,,
GARCINIA CAMBOGIA,Depression,3,0.213267813267813,14.1730545876887,4.84164429304135,41.4891025006345,24.7215047653257,TRUE,17.9948791424554,5.86004438027273,55.2582291768419,TRUE,3.81690393695584,1.94577616386651,4.8849579455417,TRUE,2.29483914458455,1.2472126161111,3.34246567305801,TRUE,4,,
GARCINIA CAMBOGIA,Elevated Mood,3,0.00229320229320229,5229.85714285714,560.853897918242,48767.4345069471,2722.2322022783,TRUE,4466.41176470588,634.332417115084,31448.5489211312,TRUE,10.1747325261218,8.30360475303243,11.2427865347076,TRUE,2.80075326629168,1.75312673781822,3.84837979476513,TRUE,4,,
GARCINIA CAMBOGIA,Irritability,3,0.0894348894348894,34.1820728291317,11.5975381465357,100.746735051273,65.2182607424488,TRUE,43.5098039215686,14.0771826976913,134.48024920525,TRUE,5.06775548369514,3.1966277106058,6.135809492281,TRUE,2.56995055891778,1.52232403044432,3.61757708739123,TRUE,4,,
GARCINIA CAMBOGIA,Lipase Increased,3,0.0395577395577396,79.2402597402598,26.479553677545,237.127061889586,153.340874734074,TRUE,100.611971104231,32.0861576014558,315.487097433547,TRUE,6.23834501757055,4.36721724448122,7.30639902615641,TRUE,2.69750566220602,1.64987913373256,3.74513219067947,TRUE,4,,
GARCINIA CAMBOGIA,Myalgia,3,0.208681408681409,14.4871388998813,4.9484068954565,42.4130832282926,25.3620952486119,TRUE,18.3961435196485,5.99010221218708,56.4962139889671,TRUE,3.848221950313,1.97709417722367,4.91627595889886,TRUE,2.30414581460634,1.25651928613288,3.35177234307979,TRUE,4,,
GARCINIA CAMBOGIA,Pancreatitis,3,0.115806715806716,26.2806891600861,8.94070149153473,77.250607615411,49.3171731167266,TRUE,33.4458204334365,10.8488116311455,103.110178561333,TRUE,4.69608485022185,2.82495707713252,5.76413885880771,TRUE,2.50680541586913,1.45917888739568,3.55443194434259,TRUE,4,,
GCB TRIM COFFEE BEAN EXTRACT,Urinary Tract Infection,3,0.0194103194103194,156.02875399361,139.715770522108,174.246414573123,319.097147468074,TRUE,1083.48165869218,55.8468511749087,21020.5674988853,TRUE,7.25385000345248,5.38272223036315,8.32190401203834,TRUE,2.75240833982853,1.70478181135508,3.80003486830199,TRUE,4,,
GNC HERBAL PLUS WHOLE HERB FENUGREEK SUPPLEMENT 100 CAPSULES,Flatulence,3,0.0297911547911548,101.321576763485,92.7089931615834,110.734261777022,206.890691871993,TRUE,701.530569948187,36.1857890874235,13600.5087351508,TRUE,6.64373722410814,4.77260945101881,7.711791232694,TRUE,2.72385925977096,1.6762327312975,3.77148578824441,TRUE,4,,
GNC HERBAL PLUS WHOLE HERB FENUGREEK SUPPLEMENT 100 CAPSULES,Haematochezia,3,0.0394963144963145,76.3078125,70.654997988231,82.4128853489611,155.336599402825,TRUE,526.748633879782,27.1793279670542,10208.6454687381,TRUE,6.24056947094173,4.36944169785239,7.30862347952759,TRUE,2.69766991279433,1.65004338432087,3.74529644126778,TRUE,4,,
GNC MENS STAMINOL RAPID SURGE,Chest Pain,3,0.109009009009009,27.5805722891566,15.6242934330417,48.6862315443155,53.9173854383016,TRUE,83.4423535315519,12.31249995782,565.492498415184,TRUE,4.78311552800517,2.91198775491584,5.85116953659103,TRUE,2.52281944701289,1.47519291853943,3.57044597548634,TRUE,4,,
GNC MENS STAMINOL RAPID SURGE,Heart Rate Increased,3,0.123013923013923,24.4342895263509,13.8459562750507,43.1197739468055,47.391486069467,TRUE,73.6606646659998,10.8700794676003,499.158588049833,TRUE,4.60920850087092,2.73808072778159,5.67726250945678,TRUE,2.49001861222106,1.44239208374761,3.53764514069452,TRUE,4,,
GNC NIACIN,Pruritus,3,0.271621621621622,11.0652617267165,4.38630901471919,27.9141338810977,18.8539571553696,TRUE,17.3304843304843,4.72073444906478,63.6226609163886,TRUE,3.46842312692208,1.59729535383275,4.53647713550794,TRUE,2.18138944721107,1.13376291873762,3.22901597568453,TRUE,4,,
GNC TRIPLE STRENGTH FISH OIL,Dyspnoea,3,0.358005733005733,8.38609044075558,4.09665508933458,17.1668132529935,13.8056384186675,TRUE,18.1651452282158,3.58266071411481,92.1026375347683,TRUE,3.07043683397428,1.19930906088495,4.13849084256014,TRUE,2.02829572941676,0.980669200943301,3.07592225789021,TRUE,4,,
GO RUBY GO,Blood Glucose Increased,3,0.201474201474201,14.992628992629,5.17907035474392,43.401403864832,26.4578148681165,TRUE,19.3389356541589,6.2226481333714,60.1021340464372,TRUE,3.89885213646608,2.02772436337675,4.96690614505194,TRUE,2.31889297096101,1.27126644248755,3.36651949943446,TRUE,4,,
GO RUBY GO,Cerebrovascular Accident,3,0.341031941031941,8.83068017366136,3.0560564146673,25.5168431954439,13.8715913493205,TRUE,11.3295498495014,3.65171812809702,35.1502211533583,TRUE,3.1404503507342,1.26932257764487,4.20850435932006,TRUE,2.05712242420138,1.00949589572792,3.10474895267483,TRUE,4,,
GOVVI WOW,Chest Pain,3,0.136261261261261,22.0640060240964,10.7649283136678,45.2228150198888,42.1571041133724,TRUE,50.0643582988333,9.86861647845376,253.980887528286,TRUE,4.46200830112029,2.59088052803096,5.53006230970615,TRUE,2.45966373110516,1.4120372026317,3.50729025957862,TRUE,4,,
GREEN TEA FAT BURNER,Abdominal Distension,3,0.296887796887797,10.1426592797784,3.56424154758926,28.8626727151125,16.6017523243347,TRUE,13.3144636678201,4.21581766946282,42.049954874896,TRUE,3.34024404445346,1.46911627136413,4.40829805303932,TRUE,2.1349064122639,1.08727988379044,3.18253294073735,TRUE,4,,
GREEN TEA FAT BURNER,Decreased Appetite,3,0.25020475020475,12.0444078947368,4.23051895365349,34.2907721544465,20.4944240811539,TRUE,15.8463434675431,5.01532621105531,50.0678501705097,TRUE,3.58677108495561,1.71564331186628,4.65482509354147,TRUE,2.22199861894806,1.17437209047461,3.26962514742152,TRUE,4,,
