stratum,product_clean,meddra_pt,a,expected,prr,ror,eb05,ic,ic025,n_methods,robust_signal,ror_lower
Age 18-39,MODERE TRIM CHOCOLATE,Vomiting,7,2.56113947863478,2.74598308668076,3.80143217702647,0.401862261810651,1.29282181387648,0.57749173061968,3,TRUE,1.55294427593992
Age 18-39,OMEGAPLEX,Abdominal Pain,7,1.76619188390218,4.01307341223795,5.12855920811438,0.934145067478783,1.7266205728288,1.011290489572,3,TRUE,2.25005219387331
Age 18-39,OXYELITE PRO,Aspartate Aminotransferase Increased,7,1.5395055092717,4.67489600289383,5.49123164244445,1.13049213438938,1.87867119135221,1.1633411080954,4,TRUE,2.51693937566733
Age 18-39,RITUAL ESSENTIAL FOR WOMEN PRENATAL MULTIVITAMIN,Hypersensitivity,7,1.51840902983069,4.66687640449438,6.34498134498135,1.15020094356913,1.89367202992938,1.17834194667258,4,TRUE,2.70154790495086
Age 18-39,SUSTAIN,Diarrhoea,7,0.909432948132222,7.78126870137642,16.8124745209947,1.88009229228162,2.41177575033453,1.69644566707773,4,TRUE,5.5757636264655
Age 18-39,SUSTAIN,Vomiting,7,1.53668368718087,4.58157152924595,9.34231378763867,1.13311279826511,1.88066865966923,1.16533857641242,4,TRUE,3.10225915422767
Age 18-39,VITAMIN B6,Hypervitaminosis,7,0.0515990325181403,191.110294117647,334.263157894737,5.66827248433325,3.76519876406912,3.04986868081232,4,TRUE,115.099816183321
Age 18-39,AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Aspartate Aminotransferase Increased,6,0.432141897339425,14.2807692307692,22.8984289367921,2.60761631003232,2.80181822402277,2.03337877989316,4,TRUE,8.52159153758883
Age 18-39,ARBONNE ESSENTIALS DAILY FIBER BOOST,Dyspnoea,6,1.92421392098898,3.13605633802817,4.23511854206605,0.491792576277175,1.42292270533164,0.654483261202023,3,TRUE,1.6736520754436
Age 18-39,ARBONNE ESSENTIALS HERBAL DETOX TEA,Dyspnoea,6,1.73179252889008,3.48544600938967,4.91420126671358,0.642528414958126,1.54223680004814,0.773797355918523,3,TRUE,1.89870210179489
Age 18-39,ARBONNE ESSENTIALS PROTEIN SHAKE MIX - CHOCOLATE,Dyspnoea,6,2.02042461703843,2.98631790744467,3.9612948627727,0.421946698515707,1.3667729124751,0.59833346834548,3,TRUE,1.57999118079067
Age 18-39,EXTENZE,Vomiting,6,1.53668368718087,3.92291446673706,6.84274406332454,0.813366889954275,1.6742177822018,0.905778338072184,3,TRUE,2.30214531686217
Age 18-39,HYDROXYCUT,Hepatic Function Abnormal,6,0.362402579951626,20.2896551724138,22.9271021291952,2.85204223133899,2.91400631898506,2.14556687485544,4,TRUE,9.42984024793597
Age 18-39,HYDROXYCUT,Hospitalisation,6,1.26256382692825,4.97295469912103,5.64390243902439,1.09373820686605,1.88276421601942,1.1143247718898,4,TRUE,2.48006835970743
Age 18-39,HYDROXYCUT CAFFEINE-FREE CAPLETS,Liver Function Test Abnormal,6,0.41924213920989,14.734126984127,23.6430456087448,2.64981675019508,2.82192287858264,2.05348343445302,4,TRUE,8.79593248176926
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Depression,6,1.17213114754098,5.2992700729927,6.17058149058149,1.19962501468131,1.95875171373248,1.19031226960287,4,TRUE,2.69099767725513
Age 18-39,HYDROXYCUT HARDCORE CAPSULES,Hypertension,6,1.00819672131148,6.20512820512821,7.24082806210466,1.41395461796497,2.10761509964697,1.33917565551735,4,TRUE,3.14871711226937
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Cardio-Respiratory Distress,6,0.216608438591776,50.5852534562212,53.4736990154712,3.55564158566171,3.18118278058387,2.41274333645425,4,TRUE,18.4170322806631
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Fear,6,0.516527815103467,14.1638709677419,15.6888392487797,2.35837787685023,2.67679002616277,1.90835058203315,4,TRUE,6.50667998056108
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Hepatic Failure,6,0.94974469228702,6.94307400379507,7.74056777682193,1.49879002456167,2.16464086176436,1.39620141763475,4,TRUE,3.35575902423692
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Myalgia,6,1.61623219564633,3.89117334278625,4.33273385441885,0.741254638039674,1.61894178769805,0.85050234356843,3,TRUE,1.91581096761214
Age 18-39,HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Myocardial Infarction,6,1.29965063155066,4.91801075268817,5.48258402444347,1.05246494998087,1.85272285661411,1.08428341248449,4,TRUE,2.4080223304732
Age 18-39,JACK3D,Loss Of Consciousness,6,0.692287019618382,8.87794176306342,12.2418437397842,1.94645645834856,2.44670814011362,1.678268695984,4,TRUE,4.9261485891109
Age 18-39,KRATOM,Brain Injury,6,0.61529158828272,13.7906160229812,14.6969411024613,2.11264816563264,2.54301877214522,1.7745793280156,4,TRUE,5.71421395787285
Age 18-39,LACTAID FAST ACT,Abdominal Pain Upper,6,1.13437248051599,5.34485241180706,7.81009708737864,1.24624435814556,1.99170290078144,1.22326345665183,4,TRUE,3.01305828650975
